default,url_name,,,,,,,,http://www.satsa.com/item/
1-2-Go-Tours,http://www.satsa.com/item/1-2-Go-Tours,,,,,,,,
7th-Sense-Travel-cc,http://www.satsa.com/item/7th-Sense-Travel-cc,,,,,,,,
A.T.G.-Africa-Travel-Group-(Pty)-Ltd,http://www.satsa.com/item/A.T.G.-Africa-Travel-Group-(Pty)-Ltd,,,,,,,,
AATS-Tours-cc,http://www.satsa.com/item/AATS-Tours-cc,,,,,,,,
Abercrombie-&-Kent-Safaris-(Pty)-Ltd,http://www.satsa.com/item/Abercrombie-&-Kent-Safaris-(Pty)-Ltd,,,,,,,,
Acacia-Africa,http://www.satsa.com/item/Acacia-Africa,,,,,,,,
Access-Southern-Africa,http://www.satsa.com/item/Access-Southern-Africa,,,,,,,,
Acrobranch-Adventure-Park-cc,http://www.satsa.com/item/Acrobranch-Adventure-Park-cc,,,,,,,,
Acrux-Safari-Company,http://www.satsa.com/item/Acrux-Safari-Company,,,,,,,,
ACSA---Airports-Company-of-South-Africa,http://www.satsa.com/item/ACSA---Airports-Company-of-South-Africa,,,,,,,,
Active-Africa-Adventures-and-Touring-cc,http://www.satsa.com/item/Active-Africa-Adventures-and-Touring-cc,,,,,,,,
Adlen-Tour-&-Travel-(PTY)-LTD,http://www.satsa.com/item/Adlen-Tour-&-Travel-(PTY)-LTD,,,,,,,,
Adore-Africa,http://www.satsa.com/item/Adore-Africa,,,,,,,,
Adventour-(Pty)-Ltd,http://www.satsa.com/item/Adventour-(Pty)-Ltd,,,,,,,,
Adventure-Works-cc,http://www.satsa.com/item/Adventure-Works-cc,,,,,,,,
Africa-2000-Tours,http://www.satsa.com/item/Africa-2000-Tours,,,,,,,,
Africa-Adventure-Travel,http://www.satsa.com/item/Africa-Adventure-Travel,,,,,,,,
Africa-And-You,http://www.satsa.com/item/Africa-And-You,,,,,,,,
Africa-Awaits-cc,http://www.satsa.com/item/Africa-Awaits-cc,,,,,,,,
Africa-Bespoke,http://www.satsa.com/item/Africa-Bespoke,,,,,,,,
Africa-By-Design,http://www.satsa.com/item/Africa-By-Design,,,,,,,,
Africa-Collection-Travel-(Pty)-Ltd,http://www.satsa.com/item/Africa-Collection-Travel-(Pty)-Ltd,,,,,,,,
Africa-Complete,http://www.satsa.com/item/Africa-Complete,,,,,,,,
Africa-Focus-Tours,http://www.satsa.com/item/Africa-Focus-Tours,,,,,,,,
Africa-Geographic-Travel,http://www.satsa.com/item/Africa-Geographic-Travel,,,,,,,,
Africa-Golf-and-Travel,http://www.satsa.com/item/Africa-Golf-and-Travel,,,,,,,,
Africa-Incoming-(Pty)-Ltd,http://www.satsa.com/item/Africa-Incoming-(Pty)-Ltd,,,,,,,,
Africa-Memories-Travel,http://www.satsa.com/item/Africa-Memories-Travel,,,,,,,,
Africa-Moja-Tours-&-Transfers,http://www.satsa.com/item/Africa-Moja-Tours-&-Transfers,,,,,,,,
Africa-Online-Safaris-(Pty)-Ltd,http://www.satsa.com/item/Africa-Online-Safaris-(Pty)-Ltd,,,,,,,,
Africa-Spear-Safaris,http://www.satsa.com/item/Africa-Spear-Safaris,,,,,,,,
Africa-Tailormade,http://www.satsa.com/item/Africa-Tailormade,,,,,,,,
Africa-Uncovered,http://www.satsa.com/item/Africa-Uncovered,,,,,,,,
Africa-VIP-tours,http://www.satsa.com/item/Africa-VIP-tours,,,,,,,,
africaMASSIVE,http://www.satsa.com/item/africaMASSIVE,,,,,,,,
African-Ample-Assistance,http://www.satsa.com/item/African-Ample-Assistance,,,,,,,,
African-Angel-Tours,http://www.satsa.com/item/African-Angel-Tours,,,,,,,,
African-Authentic-Experience,http://www.satsa.com/item/African-Authentic-Experience,,,,,,,,
African-Avenue-Tourism-cc,http://www.satsa.com/item/African-Avenue-Tourism-cc,,,,,,,,
African-Big-5-Safaris,http://www.satsa.com/item/African-Big-5-Safaris,,,,,,,,
African-Bikers-Tours-cc,http://www.satsa.com/item/African-Bikers-Tours-cc,,,,,,,,
African-Blue-Tours,http://www.satsa.com/item/African-Blue-Tours,,,,,,,,
African-Budget-Safaris-cc,http://www.satsa.com/item/African-Budget-Safaris-cc,,,,,,,,
African-Destinations-Tours-Pty-Ltd,http://www.satsa.com/item/African-Destinations-Tours-Pty-Ltd,,,,,,,,
African-Drumbeat,http://www.satsa.com/item/African-Drumbeat,,,,,,,,
African-Eagle-of-Southern-African-Territories,http://www.satsa.com/item/African-Eagle-of-Southern-African-Territories,,,,,,,,
African-Escape-Travel,http://www.satsa.com/item/African-Escape-Travel,,,,,,,,
African-Exposure-&-Safari,http://www.satsa.com/item/African-Exposure-&-Safari,,,,,,,,
African-Flying-Operations,http://www.satsa.com/item/African-Flying-Operations,,,,,,,,
African-Impact-Sales-&-Marketing-cc,http://www.satsa.com/item/African-Impact-Sales-&-Marketing-cc,,,,,,,,
African-Insight,http://www.satsa.com/item/African-Insight,,,,,,,,
African-Insight-Tours-Pty-Ltd,http://www.satsa.com/item/African-Insight-Tours-Pty-Ltd,,,,,,,,
African-Link-Tourism-(Pty)-Ltd,http://www.satsa.com/item/African-Link-Tourism-(Pty)-Ltd,,,,,,,,
African-Lynx-Travel,http://www.satsa.com/item/African-Lynx-Travel,,,,,,,,
African-Moments-Travel-Pty-Ltd,http://www.satsa.com/item/African-Moments-Travel-Pty-Ltd,,,,,,,,
African-Outposts,http://www.satsa.com/item/African-Outposts,,,,,,,,
African-Pathfinder,http://www.satsa.com/item/African-Pathfinder,,,,,,,,
African-Pride-Tours,http://www.satsa.com/item/African-Pride-Tours,,,,,,,,
African-Rock-Hotel-&-Spa,http://www.satsa.com/item/African-Rock-Hotel-&-Spa,,,,,,,,
African-Rondi,http://www.satsa.com/item/African-Rondi,,,,,,,,
African-Safari-Adventures,http://www.satsa.com/item/African-Safari-Adventures,,,,,,,,
African-Safari-Group,http://www.satsa.com/item/African-Safari-Group,,,,,,,,
African-Safari-Home-/-Personal-Africa,http://www.satsa.com/item/African-Safari-Home-/-Personal-Africa,,,,,,,,
African-Safari-Vacations,http://www.satsa.com/item/African-Safari-Vacations,,,,,,,,
African-Savanna-Travel,http://www.satsa.com/item/African-Savanna-Travel,,,,,,,,
African-Sensations-(Pty)-Ltd.,http://www.satsa.com/item/African-Sensations-(Pty)-Ltd.,,,,,,,,
African-Sky-of-Diamonds,http://www.satsa.com/item/African-Sky-of-Diamonds,,,,,,,,
African-Sky-Safaris-&-Tours-(Pty)-Ltd,http://www.satsa.com/item/African-Sky-Safaris-&-Tours-(Pty)-Ltd,,,,,,,,
African-Spiral-Travel-cc,http://www.satsa.com/item/African-Spiral-Travel-cc,,,,,,,,
African-Sports-Safaris,http://www.satsa.com/item/African-Sports-Safaris,,,,,,,,
African-Sunsets-Travel,http://www.satsa.com/item/African-Sunsets-Travel,,,,,,,,
African-Tapestry-cc-(also-trading-as-Safari-beyond-Words---luxury-division),http://www.satsa.com/item/African-Tapestry-cc-(also-trading-as-Safari-beyond-Words---luxury-division),,,,,,,,
African-Travel-Desk,http://www.satsa.com/item/African-Travel-Desk,,,,,,,,
African-Travel-Gateway-cc,http://www.satsa.com/item/African-Travel-Gateway-cc,,,,,,,,
African-Twist-Travel,http://www.satsa.com/item/African-Twist-Travel,,,,,,,,
African-Wanderer-cc,http://www.satsa.com/item/African-Wanderer-cc,,,,,,,,
African-Welcome-Safaris-cc,http://www.satsa.com/item/African-Welcome-Safaris-cc,,,,,,,,
African-Wildcats-Trave-&-Tours,http://www.satsa.com/item/African-Wildcats-Trave-&-Tours,,,,,,,,
AfriCanyon-(Pty)-Ltd,http://www.satsa.com/item/AfriCanyon-(Pty)-Ltd,,,,,,,,
Africapass-Travel-cc,http://www.satsa.com/item/Africapass-Travel-cc,,,,,,,,
Africas-Best-Adventures,http://www.satsa.com/item/Africas-Best-Adventures,,,,,,,,
Afritrails,http://www.satsa.com/item/Afritrails,,,,,,,,
Afritrip-Group-PTY-LTD-T/A-Safari.com,http://www.satsa.com/item/Afritrip-Group-PTY-LTD-T/A-Safari.com,,,,,,,,
Afri-Unique-Tours-(Pty)-Ltd,http://www.satsa.com/item/Afri-Unique-Tours-(Pty)-Ltd,,,,,,,,
AfriVest-Travel-(Pty)-Ltd,http://www.satsa.com/item/AfriVest-Travel-(Pty)-Ltd,,,,,,,,
Afrogem,http://www.satsa.com/item/Afrogem,,,,,,,,
Afroventures-Tours-&-Safaris,http://www.satsa.com/item/Afroventures-Tours-&-Safaris,,,,,,,,
aha---Hotels-&-Lodges,http://www.satsa.com/item/aha---Hotels-&-Lodges,,,,,,,,
Airlink,http://www.satsa.com/item/Airlink,,,,,,,,
Akilanga-(Pty)-Ltd,http://www.satsa.com/item/Akilanga-(Pty)-Ltd,,,,,,,,
Albatros-Travel-&-Safaris-(Pty)-Ltd,http://www.satsa.com/item/Albatros-Travel-&-Safaris-(Pty)-Ltd,,,,,,,,
Alexa-Safaris-cc,http://www.satsa.com/item/Alexa-Safaris-cc,,,,,,,,
All-Africa-Tours,http://www.satsa.com/item/All-Africa-Tours,,,,,,,,
All-Out-Africa,http://www.satsa.com/item/All-Out-Africa,,,,,,,,
Alpha-Destinations,http://www.satsa.com/item/Alpha-Destinations,,,,,,,,
AM-Lodge,http://www.satsa.com/item/AM-Lodge,,,,,,,,
Ama-Africa-Experiences,http://www.satsa.com/item/Ama-Africa-Experiences,,,,,,,,
Amakhosi-Lodge-(Pty)-Ltd,http://www.satsa.com/item/Amakhosi-Lodge-(Pty)-Ltd,,,,,,,,
Amapondo-Backpackers,http://www.satsa.com/item/Amapondo-Backpackers,,,,,,,,
Amatikulu-Tours-cc,http://www.satsa.com/item/Amatikulu-Tours-cc,,,,,,,,
Amazing-Africa-Tours,http://www.satsa.com/item/Amazing-Africa-Tours,,,,,,,,
Ama-Zing-African-Safaris,http://www.satsa.com/item/Ama-Zing-African-Safaris,,,,,,,,
Ambula-/-Golf-&-Safari-Tours,http://www.satsa.com/item/Ambula-/-Golf-&-Safari-Tours,,,,,,,,
Amphitheatre-Backpackers-cc,http://www.satsa.com/item/Amphitheatre-Backpackers-cc,,,,,,,,
Amrho-Tourism,http://www.satsa.com/item/Amrho-Tourism,,,,,,,,
An-African-Anthology-(Pty)-Ltd,http://www.satsa.com/item/An-African-Anthology-(Pty)-Ltd,,,,,,,,
An-African-Array,http://www.satsa.com/item/An-African-Array,,,,,,,,
And-Beyond-South-Africa-PTY-Ltd,http://www.satsa.com/item/And-Beyond-South-Africa-PTY-Ltd,,,,,,,,
Anderson-Expeditions-cc,http://www.satsa.com/item/Anderson-Expeditions-cc,,,,,,,,
Anew-Hotel-Hluhluwe-&-Safaris,http://www.satsa.com/item/Anew-Hotel-Hluhluwe-&-Safaris,,,,,,,,
Ansteys-Beach-Backpackers-&-Self-Catering,http://www.satsa.com/item/Ansteys-Beach-Backpackers-&-Self-Catering,,,,,,,,
Anywhere-In-Africa-Safaris-cc,http://www.satsa.com/item/Anywhere-In-Africa-Safaris-cc,,,,,,,,
Aqua-Tours-&-Transfers,http://www.satsa.com/item/Aqua-Tours-&-Transfers,,,,,,,,
Aquila-Private-Game-Reserve-&-Spa,http://www.satsa.com/item/Aquila-Private-Game-Reserve-&-Spa,,,,,,,,
Arcadia-Tours-&-Transfers,http://www.satsa.com/item/Arcadia-Tours-&-Transfers,,,,,,,,
Areena-Riverside-Resort,http://www.satsa.com/item/Areena-Riverside-Resort,,,,,,,,
Art-of-Safari-(Pty)-Ltd,http://www.satsa.com/item/Art-of-Safari-(Pty)-Ltd,,,,,,,,
Ascot-Tours-(Pty)-Ltd,http://www.satsa.com/item/Ascot-Tours-(Pty)-Ltd,,,,,,,,
Ashanti-Lodge,http://www.satsa.com/item/Ashanti-Lodge,,,,,,,,
Ashtons-Self-Drive-(Pty)-Ltd,http://www.satsa.com/item/Ashtons-Self-Drive-(Pty)-Ltd,,,,,,,,
Asian-Sun-Trading-cc,http://www.satsa.com/item/Asian-Sun-Trading-cc,,,,,,,,
Assured-and-Tailored-cc,http://www.satsa.com/item/Assured-and-Tailored-cc,,,,,,,,
ATC-(African-Travel-Concept)-(Pty)-Ltd,http://www.satsa.com/item/ATC-(African-Travel-Concept)-(Pty)-Ltd,,,,,,,,
Ates-Africa-(Pty)-Ldt,http://www.satsa.com/item/Ates-Africa-(Pty)-Ldt,,,,,,,,
Atlantic-Point-Backpackers,http://www.satsa.com/item/Atlantic-Point-Backpackers,,,,,,,,
Aukwatowa-Tours-Pty-LTD,http://www.satsa.com/item/Aukwatowa-Tours-Pty-LTD,,,,,,,,
Avenue-English-cc,http://www.satsa.com/item/Avenue-English-cc,,,,,,,,
Avian-Leisure,http://www.satsa.com/item/Avian-Leisure,,,,,,,,
Avis-Budget-Rent-a-Car,http://www.satsa.com/item/Avis-Budget-Rent-a-Car,,,,,,,,
Avo-Orange-Adventure-Travel-cc,http://www.satsa.com/item/Avo-Orange-Adventure-Travel-cc,,,,,,,,
Away-with-the-Fairies,http://www.satsa.com/item/Away-with-the-Fairies,,,,,,,,
AWOL-Tours-cc,http://www.satsa.com/item/AWOL-Tours-cc,,,,,,,,
Azul-Coastal-Tours-&-Transfers-(Pty)-Ltd,http://www.satsa.com/item/Azul-Coastal-Tours-&-Transfers-(Pty)-Ltd,,,,,,,,
Backpackers-Connection,http://www.satsa.com/item/Backpackers-Connection,,,,,,,,
Bactrac-Adventures-cc,http://www.satsa.com/item/Bactrac-Adventures-cc,,,,,,,,
Balanta-Imagine,http://www.satsa.com/item/Balanta-Imagine,,,,,,,,
Bannister-Hotel,http://www.satsa.com/item/Bannister-Hotel,,,,,,,,
Baobab-Tours,http://www.satsa.com/item/Baobab-Tours,,,,,,,,
Bay-Language-Institute,http://www.satsa.com/item/Bay-Language-Institute,,,,,,,,
Bayside-Lodge,http://www.satsa.com/item/Bayside-Lodge,,,,,,,,
Baz-Bus,http://www.satsa.com/item/Baz-Bus,,,,,,,,
BDO-Advisory,http://www.satsa.com/item/BDO-Advisory,,,,,,,,
Be-Africa-Safaris-(Pty)-Ltd,http://www.satsa.com/item/Be-Africa-Safaris-(Pty)-Ltd,,,,,,,,
Bearded-Heron-Safaris,http://www.satsa.com/item/Bearded-Heron-Safaris,,,,,,,,
